상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,PNU코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220808110599,쌀통닭,옥포점,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,48,경상남도,48310,거제시,48310560,옥포2동,4831010600,옥포동,4831010600112930005,1,대지,1293,5,경상남도 거제시 옥포동 1293-5,483104811510,경상남도 거제시 옥포로26길,20,,4831010600112930005042488,,경상남도 거제시 옥포로26길 20,656908,53219,,1,,128.690779113702,34.8965230774147
MA010120220808141841,북촌프랜차이즈,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,41,경기도,41590,화성시,41590340,송산면,4159034024,송산면,4159034024105800000,1,대지,580,,경기도 화성시 송산면 용포리 580,415903210085,경기도 화성시 송산면 용포로,61,16,4159034024105800000000001,,경기도 화성시 송산면 용포로 61-16,445871,18548,,,,126.740413870181,37.234713523379
MA010120220808153388,푸라닭치킨이천,하이닉스점,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,41,경기도,41500,이천시,41500350,대월면,4150035026,대월면,4150035026105240000,1,대지,524,,경기도 이천시 대월면 사동리 524,415004421024,경기도 이천시 대월면 경충대로2003번길,102,,4150035026104020001000001,이천사동신원아침도시,경기도 이천시 대월면 경충대로2003번길 102,467854,17338,,,,127.488199865133,37.2429120202204
MA010120220808153460,교촌치킨,잠실1호점,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,11,서울특별시,11710,송파구,11710650,잠실본동,1171010100,잠실동,1171010100101770003,1,대지,177,3,서울특별시 송파구 잠실동 177-3,117104169204,서울특별시 송파구 백제고분로7길,9,,1171010100101770003000552,,서울특별시 송파구 백제고분로7길 9,138861,05556,,,,127.07986381221,37.5105496911613
MA010120220808106040,부영닭강정,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,51,강원특별자치도,51230,삼척시,51230510,남양동,5123012000,남양동,5123012000100550113,1,대지,55,113,강원특별자치도 삼척시 남양동 55-113,512303224029,강원특별자치도 삼척시 진주로,12,21,4223012000100550003000001,중앙시장,강원특별자치도 삼척시 진주로 12-21,245722,25920,,,,129.165683434672,37.4414353910855
MA010120220808110766,충만치킨,장성점,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,46,전라남도,46880,장성군,46880250,장성읍,4688025024,장성읍,4688025024110330028,1,대지,1033,28,전라남도 장성군 장성읍 영천리 1033-28,468804697402,전라남도 장성군 장성읍 충무길,7,,4688025024110330028000001,,전라남도 장성군 장성읍 충무길 7,515805,57220,,,,126.78130650047,35.3000286968356
MA010120220808120711,네네치킨인동점,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,47,경상북도,47190,구미시,47190670,인동동,4719012000,구평동,4719012000104260012,1,대지,426,12,경상북도 구미시 구평동 426-12,471904724756,경상북도 구미시 인동39길,22,65,4719012000104260012006841,,경상북도 구미시 인동39길 22-65,730300,39442,,1,,128.436976420057,36.0954325226118
MA010120220808120828,잉꼬닭집,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,41,경기도,41250,동두천시,41250535,중앙동,4125010300,생연동,4125010300105860018,1,대지,586,18,경기도 동두천시 생연동 586-18,412504367140,경기도 동두천시 중앙로295번길,25,,4125010300105860018006461,,경기도 동두천시 중앙로295번길 25,483800,11328,,,,127.053034961171,37.9080745041214
MA010120220808126289,디디씨치킨,정관점,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,26,부산광역시,26710,기장군,26710256,정관읍,2671025627,정관읍,2671025627107420001,1,대지,742,1,부산광역시 기장군 정관읍 모전리 742-1,267104220092,부산광역시 기장군 정관읍 모전1길,20,3,2671032027107420001000001,산양프라자,부산광역시 기장군 정관읍 모전1길 20-3,619962,46008,,1,,129.167300822427,35.3357739366491
MA010120220808143387,호식이두마리치킨해도점,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,47,경상북도,47111,포항시 남구,47111545,해도동,4711110300,해도동,4711110300100010291,1,대지,1,291,경상북도 포항시 남구 해도동 1-291,471114709632,경상북도 포항시 남구 해동로84번길,5,,4711110300100010291099990,,경상북도 포항시 남구 해동로84번길 5,790838,37792,,1,,129.372995795746,36.0270382545808
MA010120220808147858,부어치킨커낼워크점,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,28,인천광역시,28185,연수구,28185830,송도2동,2818510600,송도동,2818510600100190001,1,대지,19,1,인천광역시 연수구 송도동 19-1,281852152002,인천광역시 연수구 아트센터대로,131,,2818510600100190001000001,커낼워크2단지오피스텔,인천광역시 연수구 아트센터대로 131,406082,22003,,,,126.636892857869,37.3993837800812
MA010120220808158495,노랑통닭,수송점,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,52,전북특별자치도,52130,군산시,52130690,수송동,5213014100,수송동,5213014100107870004,1,대지,787,4,전북특별자치도 군산시 수송동 787-4,521303268101,전북특별자치도 군산시 축동로,39,,4513014100107870004000001,,전북특별자치도 군산시 축동로 39,573370,54102,,1,,126.71052909454,35.9629556773771
MA010120220808175619,시장에맛옛날통닭,아차산점,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,11,서울특별시,11215,광진구,11215860,구의2동,1121510300,구의동,1121510300100520015,1,대지,52,15,서울특별시 광진구 구의동 52-15,112154112516,서울특별시 광진구 천호대로129길,16,,1121510300100520015007198,,서울특별시 광진구 천호대로129길 16,143817,04954,,1,,127.090671058188,37.5526186366119
MA010120220808095315,맛으로홀리는닭,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,44,충청남도,44825,태안군,44825310,고남면,4482531023,고남면,4482531023112350001,1,대지,1235,1,충청남도 태안군 고남면 고남리 1235-1,448252264001,충청남도 태안군 고남면 안면대로,4220,,4482531023112350001001031,,충청남도 태안군 고남면 안면대로 4220,357971,32172,,,,126.406686349998,36.4237160077648
MA010120220808095561,아웃닭,충남대점,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,30,대전광역시,30200,유성구,30200540,온천2동,3020012200,궁동,3020012200104210001,1,대지,421,1,대전광역시 유성구 궁동 421-1,302004301131,대전광역시 유성구 대학로141번길,12,,3020012200104210001011596,,대전광역시 유성구 대학로141번길 12,305335,34137,,1,,127.349413573756,36.3616600815284
MA010120220808100170,냠냠닭컴,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,46,전라남도,46230,광양시,46230250,광양읍,4623025023,광양읍,4623025023100890005,1,대지,89,5,전라남도 광양시 광양읍 칠성리 89-5,462304655544,전라남도 광양시 광양읍 호북길,25,,4623025022102290006018992,주공칠성,전라남도 광양시 광양읍 호북길 25,545783,57735,,1,,127.581026878264,34.9832512727738
MA010120220808106279,삼호수일통닭,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,46,전라남도,46830,영암군,46830253,삼호읍,4683025329,삼호읍,4683025329107210006,1,대지,721,6,전라남도 영암군 삼호읍 용당리 721-6,468303295120,전라남도 영암군 삼호읍 용당로,295,,4683025329107210004006383,,전라남도 영암군 삼호읍 용당로 295,526896,58449,,1,,126.393765191544,34.7637850849295
MA010120220808110897,비비큐,서부점,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,31,울산광역시,31170,동구,31170590,남목2동,3117010800,서부동,3117010800101130034,1,대지,113,34,울산광역시 동구 서부동 113-34,311704313079,울산광역시 동구 명덕3길,9,,3117010800101130034013124,,울산광역시 동구 명덕3길 9,682808,44031,,,,129.432028667738,35.5234615204968
MA010120220808116475,참착한치킨,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,41,경기도,41133,성남시 중원구,41133510,성남동,4113310100,성남동,4113310100138220000,1,대지,3822,,경기도 성남시 중원구 성남동 3822,411334337420,경기도 성남시 중원구 제일로35번길,5,2,4113310100138220000071756,,경기도 성남시 중원구 제일로35번길 5-2,462828,13372,,1,,127.136112550236,37.4302633284105
MA010120220808116665,옛날치킨피자,,I2,음식,I210,기타 간이,I21006,치킨,I56192,"피자, 햄버거, 샌드위치 및 유사 음식점업",47,경상북도,47770,영덕군,47770310,강구면,4777031032,강구면,4777031032100780011,1,대지,78,11,경상북도 영덕군 강구면 오포리 78-11,477704754061,경상북도 영덕군 강구면 나비산길,10,,4777031032100780011022527,,경상북도 영덕군 강구면 나비산길 10,766823,36458,,,,129.380209365603,36.3564331200476
MA010120220808121020,돈갓,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,30,대전광역시,30200,유성구,30200600,관평동,3020014600,관평동,3020014600110260000,1,대지,1026,,대전광역시 유성구 관평동 1026,302004301040,대전광역시 유성구 관들3길,15,9,3020014600110260000001861,,대전광역시 유성구 관들3길 15-9,305509,34019,,1,,127.390424148182,36.4234704097721
MA010120220808133118,칠분통닭,운암점,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,29,광주광역시,29170,북구,29170601,운암1동,2917010900,운암동,2917010900109340007,1,대지,934,7,광주광역시 북구 운암동 934-7,291703162008,광주광역시 북구 대자실로,10,,2917010900109340010018538,,광주광역시 북구 대자실로 10,500857,61257,,1,,126.873872181929,35.1779379822192
MA010120220808133141,술愛온도,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,43,충청북도,43745,증평군,43745250,증평읍,4374525022,증평읍,4374525022100390000,1,대지,39,,충청북도 증평군 증평읍 교동리 39,437453244026,충청북도 증평군 증평읍 중앙로,230,,4374525022100390000006282,,충청북도 증평군 증평읍 중앙로 230,368901,27931,,2,,127.583488070853,36.7855496190567
MA010120220808148371,비비큐본리성당점,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,27,대구광역시,27290,달서구,27290515,성당동,2729010100,성당동,2729010100105660004,1,대지,566,4,대구광역시 달서구 성당동 566-4,272904241382,대구광역시 달서구 야외음악당로11길,70,,2729010100105660004027909,,대구광역시 달서구 야외음악당로11길 70,704917,42678,,1,,128.5489608014,35.8417010278207
MA010120220808158583,다사랑치킨,태평유천점,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,30,대전광역시,30140,중구,30140690,태평2동,3014011400,태평동,3014011400103790039,1,대지,379,39,대전광역시 중구 태평동 379-39,301403165041,대전광역시 중구 태평로,97,,3014011400103790039020468,,대전광역시 중구 태평로 97,301845,34884,,,,127.394400080235,36.3253739024146
MA010120220808169486,비비큐,성신여대점,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,11,서울특별시,11290,성북구,11290575,동선동,1129011900,동선동4가,1129011900101060001,1,대지,106,1,서울특별시 성북구 동선동4가 106-1,112904121097,서울특별시 성북구 동소문로23길,4,,1129011900101060001044018,,서울특별시 성북구 동소문로23길 4,136054,02829,,,,127.01781131876,37.5938726237601
MA010120220808095673,페리카나치킨,유천점,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,51,강원특별자치도,51150,강릉시,51150510,홍제동,5115010100,홍제동,5115010100110370000,1,대지,1037,,강원특별자치도 강릉시 홍제동 1037,511504461085,강원특별자치도 강릉시 선수촌로63번길,5,,4215010100110370000000001,우미린아파트,강원특별자치도 강릉시 선수촌로63번길 5,210949,25522,,,,128.869958835975,37.7565284840857
MA010120220808095767,비비큐,평촌역점,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,41,경기도,41173,안양시 동안구,41173559,인덕원동,4117310200,관양동,4117310200117460002,1,대지,1746,2,경기도 안양시 동안구 관양동 1746-2,411732182002,경기도 안양시 동안구 시민대로,317,,4117310200117460002000001,대한스마트타워,경기도 안양시 동안구 시민대로 317,431062,14055,,,,126.965374568448,37.3962600697532
MA010120220808100387,옛날통닭,목동점,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,41,경기도,41590,화성시,41590630,동탄9동,4159013400,목동,4159013400104880002,1,대지,488,2,경기도 화성시 목동 488-2,415904852376,경기도 화성시 동탄순환대로18길,16,,4159013400200180000000001,동탄센터,경기도 화성시 동탄순환대로18길 16,,18484,,1,,127.124327425213,37.1831133769536
MA010120220808106473,또래오래소촌점,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,29,광주광역시,29200,광산구,29200565,어룡동,2920010800,소촌동,2920010800100970001,1,대지,97,1,광주광역시 광산구 소촌동 97-1,292003163003,광주광역시 광산구 금봉로,18,,2920010800100970001036341,소촌라인2차,광주광역시 광산구 금봉로 18,506762,62379,,,,126.800877359372,35.1514392301328
MA010120220808116827,포포하우스,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,44,충청남도,44200,아산시,44200610,온양5동,4420010500,초사동,4420010500101830000,1,대지,183,,충청남도 아산시 초사동 183,442004559172,충청남도 아산시 무궁화로52번길,10,6,4420010500101830000000001,,충청남도 아산시 무궁화로52번길 10-6,336090,31539,,,,126.980415512528,36.7472938524352
MA010120220808127285,비에이취씨태재고개신현점,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,41,경기도,41610,광주시,41610600,신현동,4161011500,신현동,4161011500107380020,1,대지,738,20,경기도 광주시 신현동 738-20,416104433335,경기도 광주시 신현로12번길,6,,4161025022107380020000001,,경기도 광주시 신현로12번길 6,464925,12771,,,,127.148209291453,37.3594555294658
MA010120220808144066,가마치통닭,죽림점,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,48,경상남도,48220,통영시,48220340,광도면,4822034024,광도면,4822034024115730002,1,대지,1573,2,경상남도 통영시 광도면 죽림리 1573-2,482203333031,경상남도 통영시 광도면 죽림5로,56,,4822034024115730002000001,주영더팰리스5차,경상남도 통영시 광도면 죽림5로 56,650829,53013,,,,128.420537799772,34.8825242912474
